,sentence_1_re_j,sentence_2_re_j,label,binary-label
0,스릴도 있고 반전도 있고 여느 한국 영화 쓰레기들하고는 차원이 다르네요,반전도 있고 사랑도 있고 재미도 있네요,2.2,0.0
1,앗 제가 접근 권한이 없다고 뜹니다,오 액 세스 권한이 없다고 합니다,4.2,1.0
2,주택청약 조건 변경해 주세요,주택청약 무주택 기준 변경해 주세요,2.4,0.0
3,입사 후 처음 대면으로 만나 반가웠습니다,화상으로만 보다 가 리얼로 만나니 정말 반가웠습니다,3.0,1.0
4,뿌듯 뿌듯하네요,꼬옥 실제로 한 번 뵈어요 뿌뿌뿌,0.0,0.0
5,오마이가 뜨지 져 스크 라이 스트휏,오 마이 갓 지저스 스트론 이스트 팬,2.6,1.0
6,전 암만 찍어도 까만 하늘,암만 찍어도 하늘은 까맣다,3.6,1.0
7,이렇게 귀여운 쥐들은 처음이네요,이렇게 지 겨운 공포영화는 처음,0.6,0.0
8,미세먼지 해결이 가장 시급한 문제입니다,가장 시급한 것이 신생아실 관리입니다,0.4,0.0
9,크림 하우스 환불 조치해 주세요,크림 하우스 환불 조치할 수 있도록 해주세요,4.2,1.0
10,그 책부터 얼른 꺼내봐야겠어요,책에서 꺼내야겠어요,2.4,0.0
11,극의 전개가 너무 느릿하여 답답합니다,전개가 너무 느려서 속 터진다,3.8,1.0
12,오랜만에 존 큐잭의 연기 보니 좋네요 good,오랜만에 존 큐잭의 연기를 보니 반갑다 좋아요,3.8,1.0
13,글쎄 특색도 없고 별로였던 걸로 기억하는 데,큰 반전 없던 걸로 기억하는 데,1.8,0.0
14,아래는 게임 내에서 함께 팀을 맺고 캡처한 이미지입니다,여러분들 간의 다양한 아이디어를 제안하고 나누는 채널입니다,0.0,0.0
15,lg전자 스마트폰 생산 중단 청원,lg전자 서비스의 노조 와해를 조사해 주세요,0.4,0.0
16,환갑이면 이런 재미난 얘기 하느라 시간이 금방 가더라고요,넘넘 즐거운 이야기를 하고 나니 시간이 금방 가버렸네요,3.0,1.0
17,최종구 금융 위원장을 파면하라,최종구 금융 위원장 해고,3.8,1.0
18,정말 간절히 정부의 도움이 필요합니다,정부의 도움이 절실히 필요합니다,4.0,1.0
19,내년 러시아 월드컵 자진 포기 청원 드립니다,2023 아시안컵 유치에 공동 개최를 반대합니다,0.0,0.0
20,앞머리 새로 하셨습니다,가방에 넣어 다니면서 조금씩 먹습니다,0.0,0.0
21,김기덕 조재현 성폭행 철저히 수사해 주세요,김기덕 조재현 성폭행 의혹 철저히 수사하라,4.2,1.0
22,답답할 때 보면 속이 뻥 뚫릴 것 같아요,양보단 한 입 먹는 순간 고삐 풀릴 것 같아 요,0.0,0.0
23,노래와 잘 어우러지는 영상 덕분인지 짧지만 강한 인상이 남네요,조금 유치하지만 가볍게 볼 수는 있는 영화네요,0.0,0.0
24,군대 가 기 전에 봤었는데 진짜 윈터스 같은 사람이 상관이면 목숨 걸 고 싸워도 후회는 없지 않을까라고 생각했던 게 기 억이 나네요,입대하기 전에 봤는데 윈터스 같은 사람이 진심으로 아껴준다면 목숨을 걸고 싸워도 후회는 없겠죠라고 생각했던 기 억이 나네요,4.2,1.0
25,국민청원에 올린 글 삭제하는 청와대 뉴미디어 정책실은 억울한 피해자를 죽이고 경찰에게 증거 제출하고 악플러를 살려주기 위해 은폐하고 있습니다,국민청원 글을 삭제하는 청와대 뉴미디어 정책실은 부당한 피해자를 살해하고 경찰에 증거를 제출하고 악플러를 구출하기 위해 이를 은 폐하고 있다,4.0,1.0
26,전두환을 처벌해 주세요,이재용을 구속해 주세요,0.2,0.0
27,마지막으로 리 모트 근무의 장점에 대해 이야기했는데 시간을 효율적으로 사용할 수 있다는 점에 감사하며 다시 한번 리모트 근무의 장점을 느낄 수 있었습니다,마지막으로 재택근무의 장점에 대해 이야기를 나누었고 시간을 효율적으로 사용할 수 있어 감사했고 재택근무의 장점을 다시 한번 느낄 수 있었습니다,4.2,1.0
28,겨울산이 예쁘지만 산을 잘 못 타서 대리 만족 중입니다,겨울산은 예쁜데 제가 등산을 잘 못해서 대 만족입니다,3.2,1.0
29,한 사람의 파멸을 적나라하게 드러내 준 영화,한 사람의 파멸을 드러내는 영화,3.6,1.0
30,금융위원회의 공모주 개인 배정 축소 폐지를 막아주세요,금융감독원의 공모주 개인 배분 축소 폐지를 막아주세요,4.4,1.0
31,지금 아주 만족해요,지금은 매우 만족합니다,4.4,1.0
32,저도 너무 좋아하는 노래,오 저도 좋아하는 노래,4.0,1.0
33,잘 만든 영화군요,잘 만든 영화라고 생각한다,3.6,1.0
34,전설 따라 삼천리 삼만 리인가에 의하면 이 영화가 꽤 괜찮다고 할 뿐 아니라 내가 좋아하는 장학우에 장만 옥까지,전설에 따르면 삼천리 삼천리에 따르면 이 영화는 꽤 괜찮을 뿐만 아니라 내가 제일 좋아하는 장학우와 장만 옥도,4.0,1.0
35,또 먹어 보고 싶네요,얼마나 드시고 싶었으면,1.2,0.0
36,보험이 재산 압류를 해서는 안 될 일입니다,보험은 재산을 몰수해서는 안 됩니다,3.4,1.0
37,엑소 엘 전광판 사건 공론화,엑소 엘 빌보드 사건 공개,0.8,0.0
38,아무리 그래도 걸어간다는 설정은 좀,하나 알리슨 로먼 이 벗은 건 충격,0.0,0.0
39,휴교령을 내려주세요,대구광역시 휴교령 내려주십시오,2.8,1.0
40,이런 명작을 왜 이제 봤을까,왜 이런 명작을 이제야 본 걸까,4.2,1.0
41,나이가 문제인가요,저는 무엇인가요,0.0,0.0
42,소년법을 폐지해 주시 기 바랍니다,청소년 보호법 폐지해 주시기 바랍니다,3.8,1.0
43,의료계 환경 개선 및 경찰 소방공무원 지원해 주세요,의료환경 개선과 경찰 소방관 지원 부탁드립니다,4.4,1.0
44,공무원이 수당을 부정 수령하지 않도록 해주세요,최저임금 인상에 따른 정부 지원금 부정수급을 적발하여 처벌해 주십시오,0.8,0.0
45,낮 산책 무조건 추천,낮 산책은 꼭 추천합니다,4.0,1.0
46,저는 왜 솥에 들어 가계 시나 했어요,저는 사과나 우유에 프로틴 타서 먹어요,0.0,0.0
47,동생이랑 같이 봤는데 살인데 그다지 무서워하지 않고 잘 본 것 같음,내용도 그렇고 별로 맘에 들지 않는다,0.0,0.0
48,알코올 중독자가 기초생활수급자,기초생활수급자 장애인을 위하여,1.0,0.0
49,구의원 시의원 선거 이제 그만둡시다,국회의원도 의원 시의원 들 3선 이상 출마 금지,0.8,0.0
50,아이스하키 단일팀을 이루는 것에 반대합니다,나는 단일 아이스하키 팀을 구성하는 것에 반대합니다,4.0,1.0
51,우리 아이들이 안 봤으면 좋겠어요,아이들이랑 보기 좋을 거 같아요,0.6,0.0
52,같이 이야기를 하다 보니 시간 가는지 모르고 이야기를 했네요,야옹이 얘기와 더불어 재밌는 이야기를 하다 보니 시간 가는 줄 몰랐네요,3.0,1.0
53,다만 관객에 대한 배려가 없다,이 정도 수준으로 영화관에 내 보내는 건 관객에 대한 모독이다,1.8,0.0
54,지금 있는 시설 관리라도 좀 잘 했으면 좋겠습니다,여성가족부 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다,0.0,0.0
55,근데 멜로 연기는 영,유령 나올 때 멜로디는 어릴 때 충격적이었지,0.0,0.0
56,제일 좋은 것 같던 데,난 이게 제일 재밌었는데,1.6,0.0
57,청소년 법 폐지 적극 참여합니다,청소년 법 폐지 적극 동참,4.0,1.0
58,중첩되는 장면들이 재밌다,겹치는 장면이 재미있다,3.6,1.0
59,이건 진짜 대 박임,이건 진짜 최고임,3.8,1.0
60,책도 앞부분을 읽어보니 우리 회사 문화와 업무 스타일에 좋은 팁들이 들어 있더라고요,첫날부터 우리 회사의 좋은 문화를 가득 체험하고 갑니다,1.0,0.0
61,그루밍 성범죄법이 있어야 합니다,그루밍 범죄 청소년 성폭력 범죄에서 절반,1.0,0.0
62,네 다행히 업종이 다름,네 다행히 업종이 다릅니다,4.0,1.0
63,부트 캠프 프로그램 얘기부터 추천 도 메인 얘기까지 순식간에 시간이 흘러가서 너무 아쉬웠습니다,각자 업무와 부트 캠프 얘기부터 앞으로 진로 얘기까지 나누다 보니 한 시간 훌쩍 넘게 수다를 떨었네요,2.0,0.0
64,변호사 시절 찍은 사진 그렉으로 전시한 사진 범죄 현장을 포착한 사진마저 폴은 자신의 이름을 내걸지 못한다,변호사 시절 찍은 사진 그렉과 함께 전시한 사진 범행 현장 사진까지도 폴은 자신의 이름을 댈 수 없다,3.8,1.0
65,아 어제 님이 사 오신 거,누가 저랑 그리고 경주에 가까이 사시는 분이 든 서울에 사시는 분이 든 놀 준비돼 있으신 분들,0.4,0.0
66,식당도 진짜 멋졌어요,정말 너무 멋집니다,2.8,1.0
67,뮤직비디오 감상하는 걸 추천드립니다,뮤직비디오 시청을 추천합니다,4.2,1.0
68,주차 무단 주차 단속 법규 마련 요청,긴급 상황 출동 시 개인 재산 주차 차량 침해 허용,0.4,0.0
69,어린이집 지원금을 부모한테 주세요,어린이집 이용 시간을 현실성 있게 조정해 주세요,0.8,0.0
70,님과 어 제 저녁에 식사를 하였습니다,님과 어 제 한 시간 동안 이야기 나눴습니다,0.8,0.0
71,저는 무한리필 도전 중인 대파,저도 데스 커 사용 중입니다,0.0,0.0
72,구글 meet에 맞는 사이즈로 리 사이즈 했습니다,스투파 리 정 vs 시미즈에서 리 정 배 탈곡이기도 합니다,0.0,0.0
73,감성을 자극하진 못한다,감성을 자극했던 좋은 영화,1.6,0.0
74,고화질 영상으로 수정합니다,하체지만 고관절 신청합니다,0.0,0.0
75,문재인 님 불만하지 마세요,문재인 님 제발 욕설하지 마세요,1.6,0.0
76,후반 들어 법적 공방과 반전은 이 영화의 묘미,투혼과 함께 반담의 최고 영화 복수의 칼날 반담,0.0,0.0
77,저는 뭔가 대나무처럼 크는 형태일 줄 알았는데 신기하네요,아 새로 인터넷 설치해야 하는 줄 알았는데 돈 굳은 느낌이네요,0.0,0.0
78,과연 나중에 다시 작업을 통해 만나 뵙게 될 수 있을지 궁금해하며 마무리했습니다,앞으로 일을 통해 다시 만날 수 있을까 하는 생각이 들었다,2.4,0.0
79,조두순 형량 증가를 청원합니다,소년법 개정 폐지를 청원합니다,0.0,0.0
80,가상화폐 규제 반대합니다,가상화 페 거래소 패지 반대,2.8,1.0
81,옛날 유럽의 어떤 전쟁 때 일단의 군대가 마을에 진주하게 되었습니다,각자 사는 곳의 날씨 이야기부터 시작했습니다,0.0,0.0
82,대동강 맥주 수입 바랍니다,mbn 을 강력하게 제재해 주세요,0.0,0.0
83,여자 아이스하키팀 단일팀 구성 반대,여자 아이스하키 단일팀 절대 반대합니다,3.2,1.0
84,천천히 회복하면서 쉬어요,천천히 회복하면서 휴식,3.8,1.0
85,저도 클라이밍 너무 배우 고 싶은데 기회가 된다면 함께 하면 좋을 것 같습니다,저도 클라이밍 정말 배우 고 싶은데 기회가 된다면 같이 해보는 것도 좋을 것 같아요,4.4,1.0
86,물은 답을 알고 있다,물의 요정이 다,0.2,0.0
87,저희도 얼른 워크숍 준비를,워크숍 담날 아침 8시에 하기 쉽지 않았지만 다음엔 하프 도전,0.8,0.0
88,현실적인 통일 방안 2,청년실업 해소 방안 제안,0.2,0.0
